property_id,url,title,price,price_display,price_currency,property_type,region,district,full_address,latitude,longitude,land_size_sqm,building_size_sqm,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,floors,carports,garages,condition,certificate_type,furnished_status,electricity_watt,facing_direction,building_material,floor_material,water_source,facilities,agent_name,agent_company,scraped_at,mall_5km,school_5km,school_2km,hospital_5km,hospital_2km,transit_1km,transit_5km,park_5km
hos40299428,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-hook-hitung-tanah-lokasi-strategis-di-menteng-jakarta-pusat-hos40299428/,Rumah Hook Hitung Tanah Lokasi Strategis Di Menteng Jakarta Pusat,75000000000.0,Rp 75 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Rekomendasi Komplek Properti,-6.19638,106.837891,870.0,600.0,4.0,2.0,,,1.0,3.0,,Renovasi Total,SHM,Unfurnished,6600.0,Selatan,,,PAM atau PDAM,"Masjid, Taman, Taman, Teras",Sisca Yulita,Eagle Tree Fortune 8 ,2026-02-20T19:03:07.149517+00:00,9,21,7,10,4,4,9,7
hos40788954,https://www.rumah123.com/properti/jakarta-pusat-petojo/kost-eksklusif-42-kamar-omset-144-mtahunln-2-mobil-selangkah-ke-jln-raya-besar-hos40788954/,"Kost Eksklusif 42 Kamar Omset 1,44 M/Tahunln 2 Mobil, Selangkah ke Jln Raya Besar",18000000000.0,Rp 18 Miliar,IDR,Rumah,Jakarta Pusat,"Petojo, Jakarta Pusat",Rekomendasi Komplek Properti,-6.163971,106.814888,255.0,1100.0,42.0,42.0,1.0,1.0,5.0,15.0,,Bagus,SHM,Furnished,1300.0,,"Beton, Bata Merah",Keramik,Sumur Pompa,"Keamanan 24 Jam, Masjid, Akses Parkir, Taman, CCTV, Laundry, Wastafel, Kulkas, Kompor, Water Heater, Tempat Jemuran, Telepon, Teras, CCTV, AC",Maria Oktaviani,$undefined,2026-02-20T19:04:19.342862+00:00,9,23,5,13,1,5,14,6
hos40790111,https://www.rumah123.com/properti/jakarta-pusat-petojo/roi-10-kost-eksklusif-37-kamar-di-petojo-omset-924-jttahun-jln-lebar-2-mobil-hanya-120m-ke-jln-raya-besar-lokasi-super-hos40790111/,"Roi 10% Kost Eksklusif 37 Kamar di Petojo Omset 924 Jt/Tahun Jln Lebar 2 Mobil, Hanya 120M ke Jln Raya Besar Lokasi Super Strategis Pusat Bisnis di Jakarta Pusat",9000000000.0,Rp 9 Miliar,IDR,Rumah,Jakarta Pusat,"Petojo, Jakarta Pusat",Rekomendasi Komplek Properti,-6.163971,106.814888,252.0,700.0,37.0,37.0,1.0,1.0,3.0,10.0,,Bagus,HGB,Furnished,1300.0,,"Beton, Bata Merah",Keramik,Sumur Pompa,"Keamanan 24 Jam, Akses Parkir, Taman, CCTV, Laundry, Wastafel, Kulkas, Mesin Cuci, Kompor, Tempat Jemuran, Telepon, Teras, CCTV, AC, Tempat Cuci",Maria Oktaviani,$undefined,2026-02-20T19:04:25.262709+00:00,6,19,3,6,3,3,18,7
hos39805049,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-dijual-menteng-dekat-mesjid-sunda-kelapa-hos39805049/,Rumah Dijual Menteng Dekat Mesjid Sunda Kelapa,55000000000.0,Rp 55 Miliar,IDR,Rumah,Jakarta Pusat,"Menteng, Jakarta Pusat",Rekomendasi Komplek Properti,-6.19638,106.837891,717.0,1200.0,7.0,3.0,1.0,1.0,2.0,4.0,,Bagus,SHM,Semi Furnished,41500.0,,Beton,Marmer,Sumur Pompa,"Wastafel, Kulkas, Mesin Cuci, Kitchen Set, Kompor, Water Heater, Telepon, Kolam Renang, Taman, Teras, CCTV, Backyard",Ratna,$undefined,2026-02-20T19:05:03.744172+00:00,5,16,7,7,4,3,10,6
hos40574609,https://www.rumah123.com/properti/jakarta-pusat-kartini/investasi-rumah-kos-kos-an-roi-6-di-kartini-jkt-pusat-25kt-hos40574609/,Investasi Rumah Kos Kos An Roi 6% Di Kartini Jkt Pusat 25kt,12000000000.0,Rp 12 Miliar,IDR,Rumah,Jakarta Pusat,"Kartini, Jakarta Pusat",Rekomendasi Komplek Properti,-6.15158,106.842911,245.0,800.0,25.0,25.0,1.0,1.0,4.0,3.0,,Bagus,SHM,Furnished,,Timur,Bata Merah,Keramik,PAM atau PDAM,"Keamanan 24 Jam, Taman, Wastafel, Kulkas, Mesin Cuci, Kompor, Tempat Jemuran, Teras, CCTV, AC, Tempat Cuci",Emilia Era Gading,ERA GADING,2026-02-20T19:05:31.167196+00:00,7,15,3,8,2,3,16,8
hos40592549,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/cempaka-putih-timur-luas-415-dgn-halaman-sangat-luas-hos40592549/,Cempaka Putih Timur Luas 415 Dgn Halaman Sangat Luas,9000000000.0,Rp 9 Miliar,IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rekomendasi Komplek Properti,-6.18128,106.875351,415.0,500.0,3.0,5.0,1.0,1.0,1.0,5.0,,Renovasi Minimum,SHM,Unfurnished,4400.0,Utara,Bata Merah,Keramik,PAM atau PDAM,"Akses Parkir, Taman, Wastafel, Tempat Jemuran, Taman, Teras",Emilia Era Gading,ERA GADING,2026-02-20T19:05:36.841547+00:00,5,24,5,14,1,3,18,6
hos39342879,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-layak-huni-303m2-di-cempaka-putih-barat-53m-saja-hos39342879/,Rumah Layak Huni 303m2 Di Cempaka Putih Barat 5.3m Saja !!,5000000000.0,Rp 5 Miliar,IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rekomendasi Komplek Properti,-6.18128,106.875351,303.0,210.0,3.0,3.0,1.0,1.0,1.0,1.0,,Renovasi Minimum,SHM,Semi Furnished,4400.0,Barat Daya,Bata Merah,Keramik,Sumur Pompa,"Keamanan 24 Jam, Taman, One Gate System, Wastafel, Kulkas, Kitchen Set, Kompor, Water Heater, Tempat Jemuran, Taman, Teras, AC, Backyard, Tempat Cuci",Emilia Era Gading,ERA GADING,2026-02-20T19:06:45.743904+00:00,8,12,4,11,2,3,12,4
hos40731038,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/brand-new-shm-di-cempaka-putih-akses-3-mbl-hos40731038/,Brand New SHM di Cempaka Putih Akses 3 Mbl,4700000000.0,"Rp 4,7 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Rekomendasi Komplek Properti,-6.18128,106.875351,120.0,200.0,4.0,3.0,1.0,1.0,2.0,2.0,,Bagus,SHM,Unfurnished,4400.0,Timur,Bata Merah,"Granit, Keramik",PAM atau PDAM,"Keamanan 24 Jam, Taman, Wastafel, Kitchen Set, Tempat Jemuran, Taman, Teras",Emilia Era Gading,ERA GADING,2026-02-20T19:06:51.159880+00:00,6,11,7,11,3,6,11,7
hos40717774,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/dijual-2-rumah-indent-one-gate-system-cempaka-putih-tengah-hos40717774/,Dijual 2 Rumah Indent One Gate System Cempaka Putih Tengah,8500000000.0,"Rp 8,5 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Komplek Perumahan,-6.18128,106.875351,183.0,427.0,4.0,4.0,1.0,1.0,3.0,1.0,,Bagus,SHM,Unfurnished,4400.0,Selatan,Bata Merah,Granit,PAM atau PDAM,"Keamanan 24 Jam, One Gate System, Wastafel, Tempat Jemuran, Taman, Teras",Emilia Era Gading,ERA GADING,2026-02-20T19:06:56.054054+00:00,7,21,7,11,2,5,8,9
hos16797103,https://www.rumah123.com/properti/jakarta-pusat-petojo/sangat-murah-dibawah-njop-luas-lokasi-tengah-kota-di-petojo-hos16797103/, Sangat Murah Dibawah Njop Luas Lokasi Tengah Kota Di Petojo ,9000000000.0,Rp 9 Miliar,IDR,Rumah,Jakarta Pusat,"Petojo, Jakarta Pusat",Perumahan/Komplek,-6.185699939727783,106.85299682617188,422.0,400.0,10.0,6.0,3.0,,1.0,,,Bagus,SHM,Semi Furnished,,Barat,Beton,Keramik,PAM atau PDAM,"Keamanan 24 Jam, Taman, Wastafel, Kitchen Set, Water Heater, Tempat Jemuran, Telepon, Taman",Emilia Era Gading,ERA GADING,2026-02-20T19:06:56.520937+00:00,6,16,4,11,3,4,8,7
hos19186462,https://www.rumah123.com/properti/jakarta-pusat-pejompongan/super-strategis-rumah-luas-dijual-di-pejompongan-jakarta-pusat-hos19186462/,Super strategis Rumah luas dijual di Pejompongan Jakarta Pusat,19000000000.0,Rp 19 Miliar,IDR,Rumah,Jakarta Pusat,"Pejompongan, Jakarta Pusat","Bundaran HI Jakarta, Jl. M. H. Thamrin, Menteng, Menteng, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10310",-6.1953911305489555,106.8228687788237,400.0,230.0,4.0,5.0,1.0,3.0,2.0,4.0,,Bagus,SHM,Unfurnished,6600.0,Timur,Bata Merah,"Granit, Keramik",PAM atau PDAM,"Keamanan 24 Jam, Taman, Wastafel, Kitchen Set, Tempat Jemuran, Taman, Teras, AC",Bambang Rochadi,Galaxy Media Property,2026-02-20T19:07:30.391305+00:00,8,16,7,12,3,5,8,9
hos40750533,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/di-jual-ruko-2-lantai-rawasari-jakrta-pusat-hos40750533/,Di Jual Ruko 2 Lantai Rawasari Jakrta Pusat,4620000000.0,"Rp 4,62 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","Jl. Rawasari Selatan I No.3, Cempaka Putih Timur, Cempaka Putih, Kota Jakarta Pusat, DKI Jakarta, Indonesia, 10510",-6.18128,106.875351,105.0,135.0,,3.0,,,2.0,2.0,,Bagus,SHM,Unfurnished,,Selatan,"Bata Merah, Bata Hebel",Granit,PAM atau PDAM,"Keamanan 24 Jam, Masjid, Akses Parkir, CCTV, Wastafel, Tempat Jemuran, Telepon, Teras, Tempat Cuci",Yoyo prastya,$undefined,2026-02-20T19:07:39.284039+00:00,5,18,4,10,3,4,15,4
