region_id,month,mean_impact,sum_impact,freq_sentiment_score,article_count,n_very_positive,n_positive,n_neutral,n_negative,n_very_negative,dominant_category,dominant_sentiment
Jakarta Utara,2024-03,0.043333,0.13,1.0,3,1,1,0,1,0,infrastructure,negative
Jakarta Utara,2024-04,-0.005,-0.015,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2024-05,0.045,0.18,1.0,4,0,4,0,0,0,infrastructure,positive
Jakarta Utara,2024-06,0.04,0.08,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Utara,2024-07,0.04375,0.2625,1.0,6,1,4,0,1,0,policy,positive
Jakarta Utara,2024-08,0.0335,0.1675,1.0,5,1,3,0,1,0,market,positive
Jakarta Utara,2024-09,0.086667,0.52,2.0,6,3,3,0,0,0,infrastructure,very_positive
Jakarta Utara,2024-10,0.06,0.06,3.0,1,1,0,0,0,0,infrastructure,very_positive
Jakarta Utara,2024-11,-0.01,-0.02,0.0,2,0,1,0,1,0,disaster,negative
Jakarta Utara,2024-12,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Utara,2025-01,-0.015,-0.03,-0.5,2,0,0,1,1,0,environment,negative
Jakarta Utara,2025-02,-0.05,-0.05,-1.0,1,0,0,0,1,0,disaster,negative
Jakarta Utara,2025-03,0.005833,0.0175,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2025-04,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Utara,2025-05,0.05,0.2,1.5,4,1,3,0,0,0,development,positive
Jakarta Utara,2025-06,0.019,0.095,1.0,5,1,3,0,1,0,infrastructure,positive
Jakarta Utara,2025-07,0.01375,0.055,0.5,4,0,3,0,1,0,infrastructure,positive
Jakarta Utara,2025-08,-0.0,-0.0,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Utara,2025-09,0.04,0.08,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Utara,2025-10,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
Jakarta Utara,2025-11,0.065,0.13,1.0,2,1,0,0,1,0,environment,negative
Jakarta Utara,2025-12,0.0075,0.03,0.5,4,1,1,0,2,0,disaster,negative
Jakarta Utara,2026-01,0.048333,0.145,1.0,3,1,1,0,1,0,infrastructure,negative
Jakarta Utara,2026-02,-0.025,-0.05,-0.5,2,0,0,1,1,0,disaster,negative
